,graph,size,metric,time,error
0,path,10,degree,0.00023865699768066406,
1,path,10,betweenness,0.0005030632019042969,
2,path,10,closeness,0.000492095947265625,
3,path,10,eigenvector,0.0028259754180908203,
4,path,10,pagerank,0.10915470123291016,
5,path,10,harmonic,0.0006289482116699219,
6,path,20,degree,9.655952453613281e-05,
7,path,20,betweenness,0.0009870529174804688,
8,path,20,closeness,0.0004074573516845703,
9,path,20,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
10,path,20,pagerank,0.00610661506652832,
11,path,20,harmonic,0.0006093978881835938,
12,path,30,degree,0.0001232624053955078,
13,path,30,betweenness,0.0021009445190429688,
14,path,30,closeness,0.000774383544921875,
15,path,30,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
16,path,30,pagerank,0.006029844284057617,
17,path,30,harmonic,0.0011067390441894531,
18,path,40,degree,0.00014448165893554688,
19,path,40,betweenness,0.003495931625366211,
20,path,40,closeness,0.0012519359588623047,
21,path,40,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
22,path,40,pagerank,0.005505800247192383,
23,path,40,harmonic,0.0016672611236572266,
24,path,50,degree,0.00018596649169921875,
25,path,50,betweenness,0.006249666213989258,
26,path,50,closeness,0.001924753189086914,
27,path,50,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
28,path,50,pagerank,0.00559544563293457,
29,path,50,harmonic,0.002605915069580078,
30,path,60,degree,0.00022149085998535156,
31,path,60,betweenness,0.00822138786315918,
32,path,60,closeness,0.002639293670654297,
33,path,60,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
34,path,60,pagerank,0.005599021911621094,
35,path,60,harmonic,0.0037059783935546875,
36,path,70,degree,0.00025081634521484375,
37,path,70,betweenness,0.010504961013793945,
38,path,70,closeness,0.0039048194885253906,
39,path,70,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
40,path,70,pagerank,0.005749225616455078,
41,path,70,harmonic,0.004459857940673828,
42,path,80,degree,0.00028061866760253906,
43,path,80,betweenness,0.014319419860839844,
44,path,80,closeness,0.004462480545043945,
45,path,80,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
46,path,80,pagerank,0.005572319030761719,
47,path,80,harmonic,0.005708456039428711,
48,path,90,degree,0.0003638267517089844,
49,path,90,betweenness,0.018776655197143555,
50,path,90,closeness,0.0058634281158447266,
51,path,90,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
52,path,90,pagerank,0.005391120910644531,
53,path,90,harmonic,0.007375001907348633,
54,path,100,degree,0.0004298686981201172,
55,path,100,betweenness,0.02180790901184082,
56,path,100,closeness,0.006586790084838867,
57,path,100,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
58,path,100,pagerank,0.005118370056152344,
59,path,100,harmonic,0.009188652038574219,
60,cycle,10,degree,6.127357482910156e-05,
61,cycle,10,betweenness,0.00035262107849121094,
62,cycle,10,closeness,0.00016498565673828125,
63,cycle,10,eigenvector,0.0004825592041015625,
64,cycle,10,pagerank,0.004103422164916992,
65,cycle,10,harmonic,0.000247955322265625,
66,cycle,20,degree,0.00010466575622558594,
67,cycle,20,betweenness,0.0012621879577636719,
68,cycle,20,closeness,0.0004570484161376953,
69,cycle,20,eigenvector,0.0023565292358398438,
70,cycle,20,pagerank,0.003622293472290039,
71,cycle,20,harmonic,0.0006136894226074219,
72,cycle,30,degree,0.0001201629638671875,
73,cycle,30,betweenness,0.002898693084716797,
74,cycle,30,closeness,0.0008959770202636719,
75,cycle,30,eigenvector,0.00669407844543457,
76,cycle,30,pagerank,0.003492116928100586,
77,cycle,30,harmonic,0.0012352466583251953,
78,cycle,40,degree,0.00020503997802734375,
79,cycle,40,betweenness,0.004944801330566406,
80,cycle,40,closeness,0.0014972686767578125,
81,cycle,40,eigenvector,0.014691352844238281,
82,cycle,40,pagerank,0.0035538673400878906,
83,cycle,40,harmonic,0.0020334720611572266,
84,cycle,50,degree,0.0002071857452392578,
85,cycle,50,betweenness,0.007257938385009766,
86,cycle,50,closeness,0.0025522708892822266,
87,cycle,50,eigenvector,0.025394201278686523,
88,cycle,50,pagerank,0.003300189971923828,
89,cycle,50,harmonic,0.0033881664276123047,
90,cycle,60,degree,0.00022339820861816406,
91,cycle,60,betweenness,0.009986400604248047,
92,cycle,60,closeness,0.003021240234375,
93,cycle,60,eigenvector,0.04265904426574707,
94,cycle,60,pagerank,0.003381013870239258,
95,cycle,60,harmonic,0.004205465316772461,
96,cycle,70,degree,0.0003509521484375,
97,cycle,70,betweenness,0.01396942138671875,
98,cycle,70,closeness,0.004570484161376953,
99,cycle,70,eigenvector,0.06049036979675293,
100,cycle,70,pagerank,0.0032880306243896484,
101,cycle,70,harmonic,0.006124734878540039,
102,cycle,80,degree,0.00028443336486816406,
103,cycle,80,betweenness,0.018213510513305664,
104,cycle,80,closeness,0.005255460739135742,
105,cycle,80,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
106,cycle,80,pagerank,0.003836393356323242,
107,cycle,80,harmonic,0.007403373718261719,
108,cycle,90,degree,0.0003972053527832031,
109,cycle,90,betweenness,0.02338266372680664,
110,cycle,90,closeness,0.006718635559082031,
111,cycle,90,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
112,cycle,90,pagerank,0.003365039825439453,
113,cycle,90,harmonic,0.009630441665649414,
114,cycle,100,degree,0.0003504753112792969,
115,cycle,100,betweenness,0.02783489227294922,
116,cycle,100,closeness,0.008489608764648438,
117,cycle,100,eigenvector,,"(PowerIterationFailedConvergence(...), 'power iteration failed to converge within 1000 iterations')"
118,cycle,100,pagerank,0.0034215450286865234,
119,cycle,100,harmonic,0.011201858520507812,
120,star,10,degree,5.793571472167969e-05,
121,star,10,betweenness,0.0003304481506347656,
122,star,10,closeness,0.0001621246337890625,
123,star,10,eigenvector,0.0002543926239013672,
124,star,10,pagerank,0.00504755973815918,
125,star,10,harmonic,0.00017142295837402344,
126,star,20,degree,8.654594421386719e-05,
127,star,20,betweenness,0.0007431507110595703,
128,star,20,closeness,0.000244140625,
129,star,20,eigenvector,0.0006136894226074219,
130,star,20,pagerank,0.0041539669036865234,
131,star,20,harmonic,0.00042748451232910156,
132,star,30,degree,0.00011849403381347656,
133,star,30,betweenness,0.001528024673461914,
134,star,30,closeness,0.00040459632873535156,
135,star,30,eigenvector,0.0010542869567871094,
136,star,30,pagerank,0.004163265228271484,
137,star,30,harmonic,0.0007920265197753906,
138,star,40,degree,0.00017404556274414062,
139,star,40,betweenness,0.0026106834411621094,
140,star,40,closeness,0.0006036758422851562,
141,star,40,eigenvector,0.0016198158264160156,
142,star,40,pagerank,0.004287242889404297,
143,star,40,harmonic,0.0008900165557861328,
144,star,50,degree,0.00018334388732910156,
145,star,50,betweenness,0.003975868225097656,
146,star,50,closeness,0.0009593963623046875,
147,star,50,eigenvector,0.0024635791778564453,
148,star,50,pagerank,0.004418134689331055,
149,star,50,harmonic,0.001310110092163086,
150,star,60,degree,0.00021529197692871094,
151,star,60,betweenness,0.005556344985961914,
152,star,60,closeness,0.0010728836059570312,
153,star,60,eigenvector,0.0030853748321533203,
154,star,60,pagerank,0.004285335540771484,
155,star,60,harmonic,0.0016379356384277344,
156,star,70,degree,0.0002944469451904297,
157,star,70,betweenness,0.007554054260253906,
158,star,70,closeness,0.001619100570678711,
159,star,70,eigenvector,0.003325223922729492,
160,star,70,pagerank,0.004258155822753906,
161,star,70,harmonic,0.002207040786743164,
162,star,80,degree,0.0002799034118652344,
163,star,80,betweenness,0.009819746017456055,
164,star,80,closeness,0.0017414093017578125,
165,star,80,eigenvector,0.0038857460021972656,
166,star,80,pagerank,0.004351377487182617,
167,star,80,harmonic,0.0032820701599121094,
168,star,90,degree,0.00030922889709472656,
169,star,90,betweenness,0.012165069580078125,
170,star,90,closeness,0.002470731735229492,
171,star,90,eigenvector,0.004664897918701172,
172,star,90,pagerank,0.004397869110107422,
173,star,90,harmonic,0.003302335739135742,
174,star,100,degree,0.0003390312194824219,
175,star,100,betweenness,0.015888690948486328,
176,star,100,closeness,0.0027055740356445312,
177,star,100,eigenvector,0.005715608596801758,
178,star,100,pagerank,0.004387855529785156,
179,star,100,harmonic,0.004055976867675781,
180,complete,10,degree,0.00011086463928222656,
181,complete,10,betweenness,0.0005574226379394531,
182,complete,10,closeness,0.00020766258239746094,
183,complete,10,eigenvector,0.00019931793212890625,
184,complete,10,pagerank,0.0015294551849365234,
185,complete,10,harmonic,0.0002257823944091797,
186,complete,20,degree,0.0003993511199951172,
187,complete,20,betweenness,0.002241849899291992,
188,complete,20,closeness,0.0005674362182617188,
189,complete,20,eigenvector,0.0005545616149902344,
190,complete,20,pagerank,0.0018155574798583984,
191,complete,20,harmonic,0.0007112026214599609,
192,complete,30,degree,0.000774383544921875,
193,complete,30,betweenness,0.00641179084777832,
194,complete,30,closeness,0.0012238025665283203,
195,complete,30,eigenvector,0.001249074935913086,
196,complete,30,pagerank,0.002905607223510742,
197,complete,30,harmonic,0.03517580032348633,
198,complete,40,degree,0.001226663589477539,
199,complete,40,betweenness,0.013253211975097656,
200,complete,40,closeness,0.001994609832763672,
201,complete,40,eigenvector,0.0020644664764404297,
202,complete,40,pagerank,0.0046575069427490234,
203,complete,40,harmonic,0.002508401870727539,
204,complete,50,degree,0.002053976058959961,
205,complete,50,betweenness,0.023586034774780273,
206,complete,50,closeness,0.003159046173095703,
207,complete,50,eigenvector,0.0032889842987060547,
208,complete,50,pagerank,0.00537872314453125,
209,complete,50,harmonic,0.004251003265380859,
210,complete,60,degree,0.002766132354736328,
211,complete,60,betweenness,0.03847002983093262,
212,complete,60,closeness,0.004652976989746094,
213,complete,60,eigenvector,0.004573822021484375,
214,complete,60,pagerank,0.007760524749755859,
215,complete,60,harmonic,0.0053675174713134766,
216,complete,70,degree,0.00372314453125,
217,complete,70,betweenness,0.05853605270385742,
218,complete,70,closeness,0.005800008773803711,
219,complete,70,eigenvector,0.006369829177856445,
220,complete,70,pagerank,0.009892702102661133,
221,complete,70,harmonic,0.007012128829956055,
222,complete,80,degree,0.005325794219970703,
223,complete,80,betweenness,0.08446812629699707,
224,complete,80,closeness,0.0075914859771728516,
225,complete,80,eigenvector,0.007965326309204102,
226,complete,80,pagerank,0.012727737426757812,
227,complete,80,harmonic,0.00964975357055664,
228,complete,90,degree,0.006231546401977539,
229,complete,90,betweenness,0.11820507049560547,
230,complete,90,closeness,0.009415626525878906,
231,complete,90,eigenvector,0.010384798049926758,
232,complete,90,pagerank,0.015329599380493164,
233,complete,90,harmonic,0.011736154556274414,
234,complete,100,degree,0.008007526397705078,
235,complete,100,betweenness,0.15849637985229492,
236,complete,100,closeness,0.012477397918701172,
